,0
2013-02,0.009067
2013-03,0.007048
2013-04,0.00842
2013-05,0.007504
2013-06,0.007709
2013-07,0.005902
2013-08,0.00918
2013-09,0.005311
2013-10,0.008165
2013-11,0.008807
2013-12,0.008072
2014-01,0.007934
2014-02,0.00527
2014-03,0.008878
2014-04,0.007119
2014-05,0.007154
2014-06,0.007833
2014-07,0.00774
2014-08,0.006267
2014-09,0.008623
2014-10,0.006268
2014-11,0.00796
2014-12,0.007979
2015-01,0.00678
2015-02,0.005688
2015-03,0.009286
2015-04,0.006264
2015-05,0.007309
2015-06,0.007349
2015-07,0.006154
2015-08,0.00769
2015-09,0.004636
2015-10,0.005872
2015-11,0.010073
2015-12,0.006824
2016-01,0.006256
2016-02,0.004958
2016-03,0.006642
2016-04,0.009386
2016-05,0.00684
2016-06,0.007384
2016-07,0.006845
2016-08,0.008222
2016-09,0.006785
2016-10,0.006815
2016-11,0.006128
2016-12,0.008147
2017-01,0.007495
2017-02,0.007528
2017-03,0.008318
2017-04,0.006846
2017-05,0.007263
2017-06,0.007349
2017-07,0.007086
2017-08,0.007667
2017-09,0.006923
2017-10,0.007679
2017-11,0.007788
2017-12,0.008048
2018-01,0.007348
2018-02,0.009231
2018-03,0.005715
2018-04,0.006108
2018-05,0.007094
2018-06,0.007786
2018-07,0.007128
2018-08,0.008367
2018-09,0.008159
2018-10,0.007176
2018-11,0.004503
2018-12,0.007712
2019-01,0.00381
2019-02,0.009251
2019-03,0.007803
2019-04,0.00752
2019-05,0.008231
2019-06,0.005309
2019-07,0.008723
2019-08,0.007357
2019-09,0.006694
2019-10,0.007451
2019-11,0.007526
2019-12,0.007858
2020-01,0.007783
2020-02,0.007125
2020-03,0.005163
2020-04,0.002684
2020-05,0.009397
2020-06,0.008007
2020-07,0.007468
2020-08,0.008422
2020-09,0.00902
2020-10,0.006216
2020-11,0.006441
2020-12,0.009685
2021-01,0.008167
2021-02,0.006998
2021-03,0.007954
2021-04,0.008404
2021-05,0.00877
2021-06,0.007539
