,0
1987-08,0.00749
1987-09,0.007933
1987-10,0.008707
1987-11,0.006783
1987-12,0.002745
1988-01,0.009483
1988-02,0.008403
1988-03,0.008755
1988-04,0.005409
1988-05,0.007278
1988-06,0.006936
1988-07,0.008707
1988-08,0.006667
1988-09,0.005187
1988-10,0.008401
1988-11,0.007898
1988-12,0.006126
1989-01,0.007459
1989-02,0.009847
1989-03,0.006039
1989-04,0.007783
1989-05,0.008887
1989-06,0.008555
1989-07,0.007016
1989-08,0.010429
1989-09,0.008119
1989-10,0.007434
1989-11,0.00669
1989-12,0.008106
1990-01,0.00828
1990-02,0.005215
1990-03,0.007625
1990-04,0.008091
1990-05,0.006465
1990-06,0.009638
1990-07,0.007408
1990-08,0.007447
1990-09,0.005106
1990-10,0.005185
1990-11,0.006557
1990-12,0.008973
1991-01,0.007812
1991-02,0.008619
1991-03,0.010007
1991-04,0.008203
1991-05,0.007336
1991-06,0.009079
1991-07,0.005435
1991-08,0.008999
1991-09,0.008118
1991-10,0.00675
1991-11,0.007838
1991-12,0.005801
1992-01,0.010099
1992-02,0.007325
1992-03,0.007802
1992-04,0.007223
1992-05,0.008009
1992-06,0.007614
1992-07,0.007276
1992-08,0.008113
1992-09,0.007295
1992-10,0.007635
1992-11,0.007543
1992-12,0.007896
1993-01,0.007711
1993-02,0.007681
1993-03,0.007724
1993-04,0.007844
1993-05,0.007319
1993-06,0.007793
1993-07,0.007592
1993-08,0.007497
1993-09,0.007891
1993-10,0.007519
1993-11,0.007744
1993-12,0.007488
1994-01,0.007623
1994-02,0.007833
1994-03,0.007426
1994-04,0.00698
1994-05,0.007424
1994-06,0.007445
1994-07,0.00706
1994-08,0.0075
1994-09,0.007676
1994-10,0.007202
1994-11,0.007456
1994-12,0.007131
1995-01,0.007273
1995-02,0.007357
1995-03,0.007506
1995-04,0.007567
1995-05,0.007654
1995-06,0.007823
1995-07,0.007787
1995-08,0.007953
1995-09,0.007691
1995-10,0.008066
1995-11,0.007739
1995-12,0.008085
