,0
1996-02,0.008179
1996-03,0.008023
1996-04,0.008029
1996-05,0.008079
1996-06,0.008183
1996-07,0.008041
1996-08,0.007558
1996-09,0.007998
1996-10,0.008377
1996-11,0.008281
1996-12,0.008993
1997-01,0.008063
1997-02,0.008601
1997-03,0.008404
1997-04,0.00808
1997-05,0.00835
1997-06,0.008732
1997-07,0.008895
1997-08,0.009621
1997-09,0.008514
1997-10,0.008703
1997-11,0.008935
1997-12,0.008496
1998-01,0.008757
1998-02,0.008807
1998-03,0.008526
1998-04,0.008984
1998-05,0.009127
1998-06,0.009142
1998-07,0.008986
1998-08,0.009195
1998-09,0.008718
1998-10,0.008042
1998-11,0.008103
1998-12,0.009027
1999-01,0.009355
1999-02,0.009496
1999-03,0.009154
1999-04,0.00933
1999-05,0.009325
1999-06,0.009463
1999-07,0.009136
1999-08,0.009722
1999-09,0.009416
1999-10,0.009304
1999-11,0.008732
1999-12,0.009242
2000-01,0.009235
2000-02,0.009894
2000-03,0.009437
2000-04,0.008158
2000-05,0.010142
2000-06,0.009861
2000-07,0.009053
2000-08,0.009739
2000-09,0.0083
2000-10,0.010831
2000-11,0.009564
2000-12,0.010999
2001-01,0.009069
2001-02,0.008415
2001-03,0.011317
2001-04,0.009624
2001-05,0.007249
2001-06,0.008739
2001-07,0.009335
2001-08,0.008967
2001-09,0.009733
2001-10,0.008964
2001-11,0.008047
2001-12,0.007672
2002-01,0.008318
2002-02,0.008485
2002-03,0.008436
2002-04,0.007972
2002-05,0.008952
2002-06,0.008222
2002-07,0.008564
2002-08,0.007539
2002-09,0.007581
2002-10,0.007143
2002-11,0.006608
2002-12,0.007318
2003-01,0.008099
2003-02,0.007587
2003-03,0.007428
2003-04,0.007284
2003-05,0.007056
2003-06,0.007521
2003-07,0.007591
2003-08,0.007607
2003-09,0.007632
2003-10,0.007621
2003-11,0.007593
2003-12,0.007712
2004-01,0.007703
2004-02,0.007822
2004-03,0.007843
2004-04,0.007847
2004-05,0.007769
2004-06,0.007735
