,0
1979-02,0.005133
1979-03,0.002876
1979-04,0.004719
1979-05,0.004158
1979-06,0.003613
1979-07,0.004369
1979-08,0.004283
1979-09,0.005008
1979-10,0.004638
1979-11,0.003522
1979-12,0.004079
1980-01,0.004394
1980-02,0.004848
1980-03,0.004868
1980-04,0.003846
1980-05,0.003611
1980-06,0.00414
1980-07,0.004648
1980-08,0.005324
1980-09,0.005287
1980-10,0.005467
1980-11,0.005554
1980-12,0.00695
1981-01,0.006384
1981-02,0.005664
1981-03,0.005615
1981-04,0.005807
1981-05,0.00583
1981-06,0.005632
1981-07,0.005549
1981-08,0.005447
1981-09,0.005056
1981-10,0.003635
1981-11,0.00497
1981-12,0.005353
1982-01,0.004609
1982-02,0.004442
1982-03,0.003233
1982-04,0.003827
1982-05,0.004902
1982-06,0.003603
1982-07,0.003517
1982-08,0.003229
1982-09,0.004856
1982-10,0.004458
1982-11,0.005808
1982-12,0.005879
1983-01,0.005611
1983-02,0.006154
1983-03,0.005974
1983-04,0.00648
1983-05,0.008269
1983-06,0.005743
1983-07,0.006955
1983-08,0.005478
1983-09,0.006284
1983-10,0.006275
1983-11,0.005706
1983-12,0.006335
1984-01,0.005813
1984-02,0.005711
1984-03,0.004859
1984-04,0.005881
1984-05,0.005723
1984-06,0.004212
1984-07,0.005602
1984-08,0.004984
1984-09,0.006535
1984-10,0.005785
1984-11,0.005763
1984-12,0.005581
1985-01,0.005807
1985-02,0.006594
1985-03,0.006179
1985-04,0.006051
1985-05,0.005977
1985-06,0.006593
1985-07,0.006389
1985-08,0.006221
1985-09,0.006066
1985-10,0.005598
1985-11,0.006334
1985-12,0.007147
1986-01,0.00737
1986-02,0.006586
1986-03,0.008081
1986-04,0.008364
1986-05,0.006654
1986-06,0.008211
1986-07,0.007525
1986-08,0.005812
1986-09,0.007809
1986-10,0.007852
1986-11,0.006168
1986-12,0.006924
1987-01,0.007788
1987-02,0.003684
1987-03,0.007112
1987-04,0.007518
1987-05,0.008217
1987-06,0.00785
