,0
1997-02,0.002802
1997-03,0.010783
1997-04,0.005957
1997-05,0.007924
1997-06,0.008868
1997-07,0.00548
1997-08,0.005654
1997-09,0.005761
1997-10,0.006825
1997-11,0.009479
1997-12,0.007499
1998-01,0.008326
1998-02,0.007175
1998-03,0.007907
1998-04,0.007172
1998-05,0.006601
1998-06,0.00756
1998-07,0.008663
1998-08,0.008609
1998-09,0.008039
1998-10,0.010062
1998-11,0.011686
1998-12,0.004616
1999-01,0.00487
1999-02,0.006271
1999-03,0.006819
1999-04,0.00418
1999-05,0.011779
1999-06,0.004999
1999-07,0.005203
1999-08,0.01283
1999-09,0.007626
1999-10,0.010311
1999-11,0.009467
1999-12,0.011593
2000-01,0.004817
2000-02,0.011157
2000-03,0.008133
2000-04,0.006309
2000-05,0.006879
2000-06,0.007067
2000-07,0.014404
2000-08,0.008768
2000-09,0.008585
2000-10,0.010004
2000-11,2.9e-05
2000-12,0.013854
2001-01,0.011196
2001-02,0.011342
2001-03,0.003811
2001-04,0.011022
2001-05,0.013028
2001-06,0.000533
2001-07,0.005154
2001-08,0.008901
2001-09,0.007521
2001-10,0.002723
2001-11,0.011763
2001-12,0.010809
2002-01,0.004371
2002-02,0.004272
2002-03,0.008268
2002-04,0.00815
2002-05,0.008774
2002-06,0.007161
2002-07,0.011274
2002-08,0.009001
2002-09,0.013221
2002-10,0.010582
2002-11,0.006952
2002-12,0.008999
2003-01,0.001242
2003-02,0.021247
2003-03,0.001186
2003-04,0.010196
2003-05,0.000764
2003-06,0.008302
2003-07,0.003394
2003-08,0.00565
2003-09,0.007209
2003-10,0.006837
2003-11,0.007717
2003-12,0.009472
2004-01,0.003453
2004-02,0.006989
2004-03,0.002295
2004-04,0.009097
2004-05,0.004106
2004-06,0.009466
2004-07,0.006533
2004-08,0.008662
2004-09,0.005112
2004-10,0.010203
2004-11,0.005775
2004-12,0.007962
2005-01,0.007322
2005-02,0.006788
2005-03,0.006269
2005-04,0.009459
2005-05,0.004394
2005-06,0.009595
