,0
2014-02,0.005119
2014-03,0.005741
2014-04,0.009282
2014-05,0.004671
2014-06,0.008361
2014-07,0.006176
2014-08,0.007919
2014-09,0.004628
2014-10,0.010109
2014-11,0.00291
2014-12,0.010709
2015-01,0.004495
2015-02,0.008148
2015-03,0.00368
2015-04,0.011641
2015-05,0.004094
2015-06,0.00781
2015-07,0.003622
2015-08,0.007962
2015-09,0.006413
2015-10,0.003876
2015-11,0.007212
2015-12,0.009681
2016-01,0.003523
2016-02,0.00785
2016-03,0.003096
2016-04,0.009469
2016-05,0.007509
2016-06,0.006809
2016-07,0.007995
2016-08,0.005045
2016-09,0.00922
2016-10,0.003834
2016-11,0.008486
2016-12,0.006013
2017-01,0.010283
2017-02,0.004039
2017-03,0.008944
2017-04,0.006009
2017-05,0.006419
2017-06,0.007143
2017-07,0.006761
2017-08,0.010083
2017-09,0.00744
2017-10,0.005735
2017-11,0.008151
2017-12,0.006218
2018-01,0.007966
2018-02,0.005649
2018-03,0.009923
2018-04,0.001732
2018-05,0.009745
2018-06,0.004968
2018-07,0.007465
2018-08,0.006129
2018-09,0.009731
2018-10,0.005209
2018-11,0.007543
2018-12,0.006905
2019-01,0.011632
2019-02,-0.000713
2019-03,0.01591
2019-04,0.004478
2019-05,0.006332
2019-06,-0.002216
2019-07,0.006272
2019-08,0.009645
2019-09,0.003872
2019-10,0.010204
2019-11,0.000928
2019-12,0.006705
2020-01,0.006551
2020-02,0.006852
2020-03,0.005874
2020-04,0.005566
2020-05,0.004048
2020-06,0.008216
2020-07,-0.001033
2020-08,0.010989
2020-09,0.000871
2020-10,0.006307
2020-11,0.001146
2020-12,0.008418
2021-01,0.008589
2021-02,0.006044
2021-03,0.006269
2021-04,0.008032
2021-05,0.007497
2021-06,0.008722
2021-07,0.005361
2021-08,0.009093
2021-09,0.006389
2021-10,0.009085
2021-11,0.002921
2021-12,0.013486
2022-01,0.001041
2022-02,0.013341
2022-03,5.3e-05
2022-04,0.01186
2022-05,0.005023
2022-06,0.005792
