,0
1988-08,0.006284
1988-09,0.001873
1988-10,0.009997
1988-11,0.003291
1988-12,0.005661
1989-01,0.001403
1989-02,0.006223
1989-03,0.007125
1989-04,0.003498
1989-05,0.005505
1989-06,0.003515
1989-07,0.006048
1989-08,0.001643
1989-09,0.012936
1989-10,0.000129
1989-11,0.012804
1989-12,-0.000214
1990-01,0.009107
1990-02,0.00201
1990-03,0.003987
1990-04,0.00741
1990-05,0.005663
1990-06,0.004476
1990-07,0.009852
1990-08,0.002418
1990-09,0.013324
1990-10,0.000198
1990-11,0.003844
1990-12,0.004422
1991-01,0.011646
1991-02,0.001303
1991-03,0.006977
1991-04,0.003988
1991-05,0.007476
1991-06,0.001993
1991-07,0.00828
1991-08,0.001576
1991-09,0.012443
1991-10,0.00191
1991-11,0.008422
1991-12,0.006038
1992-01,0.005542
1992-02,0.008112
1992-03,-0.000787
1992-04,0.008188
1992-05,0.001754
1992-06,0.008164
1992-07,0.005778
1992-08,0.006939
1992-09,0.007901
1992-10,0.006933
1992-11,0.008098
1992-12,0.006558
1993-01,0.006936
1993-02,0.005365
1993-03,0.007359
1993-04,0.005856
1993-05,0.00728
1993-06,0.005043
1993-07,0.008141
1993-08,0.004466
1993-09,0.007045
1993-10,0.007206
1993-11,0.006435
1993-12,0.007458
1994-01,0.006271
1994-02,0.007568
1994-03,0.006505
1994-04,0.005862
1994-05,0.008441
1994-06,0.008931
1994-07,0.006327
1994-08,0.00712
1994-09,0.007905
1994-10,0.005452
1994-11,0.005203
1994-12,0.008054
1995-01,0.00612
1995-02,0.008526
1995-03,0.00434
1995-04,0.005524
1995-05,0.005083
1995-06,0.005599
1995-07,0.003965
1995-08,0.006345
1995-09,0.005037
1995-10,0.005588
1995-11,0.00717
1995-12,0.005661
1996-01,0.007374
1996-02,0.005746
1996-03,0.006732
1996-04,0.00627
1996-05,0.007242
1996-06,0.007192
1996-07,0.007011
1996-08,0.006745
1996-09,0.007553
1996-10,0.009143
1996-11,0.00661
1996-12,0.005359
