id_indicator,time,open,close
43,1952-12-01,86.2,87.7
43,1953-01-01,87.7,89.2
43,1953-02-01,89.2,90.7
43,1953-03-01,90.7,89.05
43,1953-04-01,89.05,87.4
43,1953-05-01,87.4,85.75
43,1953-06-01,85.75,84.1
43,1953-07-01,84.1,82.45
43,1953-08-01,82.45,80.8
43,1953-09-01,80.8,80.77
43,1953-10-01,80.77,80.73
43,1953-11-01,80.73,80.7
43,1953-12-01,80.7,81.13
43,1954-01-01,81.13,81.57
43,1954-02-01,81.57,82
43,1954-03-01,82,82.3
43,1954-04-01,82.3,82.6
43,1954-05-01,82.6,82.9
43,1954-06-01,82.9,83.58
43,1954-07-01,83.58,84.27
43,1954-08-01,84.27,84.95
43,1954-09-01,84.95,85.63
43,1954-10-01,85.63,86.32
43,1954-11-01,86.32,87
43,1954-12-01,87,89.97
43,1955-01-01,89.97,92.93
43,1955-02-01,92.93,95.9
43,1955-03-01,95.9,96.97
43,1955-04-01,96.97,98.03
43,1955-05-01,98.03,99.1
43,1955-06-01,99.1,99.2
43,1955-07-01,99.2,99.3
43,1955-08-01,99.3,99.4
43,1955-09-01,99.4,99.5
43,1955-10-01,99.5,99.6
43,1955-11-01,99.6,99.7
43,1955-12-01,99.7,99.45
43,1956-01-01,99.45,99.2
43,1956-02-01,99.2,98.95
43,1956-03-01,98.95,98.7
43,1956-04-01,98.7,98.45
43,1956-05-01,98.45,98.2
43,1956-06-01,98.2,98.77
43,1956-07-01,98.77,99.33
43,1956-08-01,99.33,99.9
43,1956-09-01,99.9,100
43,1956-10-01,100,100.1
43,1956-11-01,100.1,100.2
43,1956-12-01,100.2,98.98
43,1957-01-01,98.98,97.77
43,1957-02-01,97.77,96.55
43,1957-03-01,96.55,95.33
43,1957-04-01,95.33,94.12
43,1957-05-01,94.12,92.9
43,1957-06-01,92.9,91.37
43,1957-07-01,91.37,89.83
43,1957-08-01,89.83,88.3
43,1957-09-01,88.3,86.77
