id_indicator,time,open,close
1,1969-12-01,52,52
1,1970-01-01,52,48.7
1,1970-02-01,48.7,47.4
1,1970-03-01,47.4,46.9
1,1970-04-01,46.9,45
1,1970-05-01,45,47.2
1,1970-06-01,47.2,51.1
1,1970-07-01,51.1,49.5
1,1970-08-01,49.5,47.3
1,1970-09-01,47.3,44.1
1,1970-10-01,44.1,42.4
1,1970-11-01,42.4,39.7
1,1970-12-01,39.7,45.4
1,1971-01-01,45.4,47.9
1,1971-02-01,47.9,54.8
1,1971-03-01,54.8,51.2
1,1971-04-01,51.2,54.5
1,1971-05-01,54.5,54.2
1,1971-06-01,54.2,53.8
1,1971-07-01,53.8,54.4
1,1971-08-01,54.4,53.6
1,1971-09-01,53.6,55.1
1,1971-10-01,55.1,55
1,1971-11-01,55,52.3
1,1971-12-01,52.3,57.6
1,1972-01-01,57.6,59.6
1,1972-02-01,59.6,60.6
1,1972-03-01,60.6,59.8
1,1972-04-01,59.8,59.3
1,1972-05-01,59.3,61.4
1,1972-06-01,61.4,58.6
1,1972-07-01,58.6,60.1
1,1972-08-01,60.1,61.7
1,1972-09-01,61.7,65.1
1,1972-10-01,65.1,67
1,1972-11-01,67,69.9
1,1972-12-01,69.9,70.5
1,1973-01-01,70.5,72.1
1,1973-02-01,72.1,69.6
1,1973-03-01,69.6,69.6
1,1973-04-01,69.6,67.7
1,1973-05-01,67.7,64.8
1,1973-06-01,64.8,65
1,1973-07-01,65,57.8
1,1973-08-01,57.8,62.7
1,1973-09-01,62.7,63.5
1,1973-10-01,63.5,66.2
1,1973-11-01,66.2,68.1
1,1973-12-01,68.1,63.6
1,1974-01-01,63.6,62.1
1,1974-02-01,62.1,58.6
1,1974-03-01,58.6,61.8
1,1974-04-01,61.8,59.9
1,1974-05-01,59.9,55.7
1,1974-06-01,55.7,54.7
1,1974-07-01,54.7,54.8
1,1974-08-01,54.8,52.9
1,1974-09-01,52.9,46.2
1,1974-10-01,46.2,42.7
1,1974-11-01,42.7,37.9
1,1974-12-01,37.9,30.9
1,1975-01-01,30.9,30.7
1,1975-02-01,30.7,34.4
1,1975-03-01,34.4,31.6
1,1975-04-01,31.6,37.5
1,1975-05-01,37.5,41.2
1,1975-06-01,41.2,45.1
1,1975-07-01,45.1,47.2
1,1975-08-01,47.2,51.4
1,1975-09-01,51.4,54.4
1,1975-10-01,54.4,55.5
1,1975-11-01,55.5,54.5
1,1975-12-01,54.5,54.9
1,1976-01-01,54.9,58.8
1,1976-02-01,58.8,61.5
1,1976-03-01,61.5,58.4
1,1976-04-01,58.4,60.6
1,1976-05-01,60.6,58.8
1,1976-06-01,58.8,58.2
1,1976-07-01,58.2,55.9
1,1976-08-01,55.9,54.5
1,1976-09-01,54.5,53.6
1,1976-10-01,53.6,53.5
1,1976-11-01,53.5,51.7
1,1976-12-01,51.7,56.6
1,1977-01-01,56.6,54.8
1,1977-02-01,54.8,55
1,1977-03-01,55,58.4
1,1977-04-01,58.4,56.9
1,1977-05-01,56.9,59.7
1,1977-06-01,59.7,56.8
1,1977-07-01,56.8,57.7
1,1977-08-01,57.7,54.9
1,1977-09-01,54.9,53.9
1,1977-10-01,53.9,55.4
1,1977-11-01,55.4,56.1
1,1977-12-01,56.1,59.8
1,1978-01-01,59.8,57.4
1,1978-02-01,57.4,55.9
1,1978-03-01,55.9,55
1,1978-04-01,55,57.7
1,1978-05-01,57.7,60.2
1,1978-06-01,60.2,60.5
1,1978-07-01,60.5,62.2
1,1978-08-01,62.2,60.3
1,1978-09-01,60.3,60.5
1,1978-10-01,60.5,60.1
1,1978-11-01,60.1,61.3
1,1978-12-01,61.3,59.4
1,1979-01-01,59.4,58.5
1,1979-02-01,58.5,58.2
1,1979-03-01,58.2,57.7
1,1979-04-01,57.7,56.2
1,1979-05-01,56.2,54.4
1,1979-06-01,54.4,52.7
1,1979-07-01,52.7,51.3
1,1979-08-01,51.3,49.5
1,1979-09-01,49.5,49.6
1,1979-10-01,49.6,49
1,1979-11-01,49,48
1,1979-12-01,48,44.8
1,1980-01-01,44.8,46.2
1,1980-02-01,46.2,50.2
1,1980-03-01,50.2,43.6
1,1980-04-01,43.6,37.4
1,1980-05-01,37.4,29.4
1,1980-06-01,29.4,30.3
1,1980-07-01,30.3,35
1,1980-08-01,35,45.5
1,1980-09-01,45.5,50.1
1,1980-10-01,50.1,55.5
1,1980-11-01,55.5,58.2
1,1980-12-01,58.2,53
1,1981-01-01,53,49.2
1,1981-02-01,49.2,48.8
1,1981-03-01,48.8,49.6
1,1981-04-01,49.6,51.6
1,1981-05-01,51.6,53.5
1,1981-06-01,53.5,50.7
1,1981-07-01,50.7,46.7
1,1981-08-01,46.7,48.3
1,1981-09-01,48.3,42.5
1,1981-10-01,42.5,40
1,1981-11-01,40,36.1
1,1981-12-01,36.1,37.8
1,1982-01-01,37.8,38.2
1,1982-02-01,38.2,38.3
1,1982-03-01,38.3,36.8
1,1982-04-01,36.8,37.8
1,1982-05-01,37.8,35.5
1,1982-06-01,35.5,38.3
1,1982-07-01,38.3,38.4
1,1982-08-01,38.4,38.3
1,1982-09-01,38.3,38.8
1,1982-10-01,38.8,39.4
1,1982-11-01,39.4,39.2
1,1982-12-01,39.2,42.8
1,1983-01-01,42.8,46
1,1983-02-01,46,54.4
1,1983-03-01,54.4,53.9
1,1983-04-01,53.9,54.2
1,1983-05-01,54.2,56.1
1,1983-06-01,56.1,57.5
