id_indicator,time,open,close
123,1954-08-01,0.8,1.22
123,1954-09-01,1.22,1.07
123,1954-10-01,1.07,0.85
123,1954-11-01,0.85,0.83
123,1954-12-01,0.83,1.28
123,1955-01-01,1.28,1.39
123,1955-02-01,1.39,1.29
123,1955-03-01,1.29,1.35
123,1955-04-01,1.35,1.43
123,1955-05-01,1.43,1.43
123,1955-06-01,1.43,1.64
123,1955-07-01,1.64,1.68
123,1955-08-01,1.68,1.96
123,1955-09-01,1.96,2.18
123,1955-10-01,2.18,2.24
123,1955-11-01,2.24,2.35
123,1955-12-01,2.35,2.48
123,1956-01-01,2.48,2.45
123,1956-02-01,2.45,2.5
123,1956-03-01,2.5,2.5
123,1956-04-01,2.5,2.62
123,1956-05-01,2.62,2.75
123,1956-06-01,2.75,2.71
123,1956-07-01,2.71,2.75
123,1956-08-01,2.75,2.73
123,1956-09-01,2.73,2.95
123,1956-10-01,2.95,2.96
123,1956-11-01,2.96,2.88
123,1956-12-01,2.88,2.94
123,1957-01-01,2.94,2.84
123,1957-02-01,2.84,3
123,1957-03-01,3,2.96
123,1957-04-01,2.96,3
123,1957-05-01,3,3
123,1957-06-01,3,3
123,1957-07-01,3,2.99
123,1957-08-01,2.99,3.24
123,1957-09-01,3.24,3.47
123,1957-10-01,3.47,3.5
123,1957-11-01,3.5,3.28
123,1957-12-01,3.28,2.98
123,1958-01-01,2.98,2.72
123,1958-02-01,2.72,1.67
123,1958-03-01,1.67,1.2
123,1958-04-01,1.2,1.26
123,1958-05-01,1.26,0.63
123,1958-06-01,0.63,0.93
123,1958-07-01,0.93,0.68
123,1958-08-01,0.68,1.53
123,1958-09-01,1.53,1.76
123,1958-10-01,1.76,1.8
123,1958-11-01,1.8,2.27
123,1958-12-01,2.27,2.42
123,1959-01-01,2.42,2.48
123,1959-02-01,2.48,2.43
123,1959-03-01,2.43,2.8
123,1959-04-01,2.8,2.96
123,1959-05-01,2.96,2.9
123,1959-06-01,2.9,3.39
123,1959-07-01,3.39,3.47
123,1959-08-01,3.47,3.5
123,1959-09-01,3.5,3.76
123,1959-10-01,3.76,3.98
123,1959-11-01,3.98,4
123,1959-12-01,4,3.99
123,1960-01-01,3.99,3.99
123,1960-02-01,3.99,3.97
123,1960-03-01,3.97,3.84
123,1960-04-01,3.84,3.92
123,1960-05-01,3.92,3.85
123,1960-06-01,3.85,3.32
123,1960-07-01,3.32,3.23
123,1960-08-01,3.23,2.98
123,1960-09-01,2.98,2.6
123,1960-10-01,2.6,2.47
123,1960-11-01,2.47,2.44
123,1960-12-01,2.44,1.98
123,1961-01-01,1.98,1.45
123,1961-02-01,1.45,2.54
123,1961-03-01,2.54,2.02
123,1961-04-01,2.02,1.49
123,1961-05-01,1.49,1.98
123,1961-06-01,1.98,1.73
123,1961-07-01,1.73,1.17
123,1961-08-01,1.17,2
123,1961-09-01,2,1.88
123,1961-10-01,1.88,2.26
123,1961-11-01,2.26,2.61
123,1961-12-01,2.61,2.33
123,1962-01-01,2.33,2.15
123,1962-02-01,2.15,2.37
123,1962-03-01,2.37,2.85
123,1962-04-01,2.85,2.78
123,1962-05-01,2.78,2.36
123,1962-06-01,2.36,2.68
123,1962-07-01,2.68,2.71
123,1962-08-01,2.71,2.93
123,1962-09-01,2.93,2.9
123,1962-10-01,2.9,2.9
123,1962-11-01,2.9,2.94
123,1962-12-01,2.94,2.93
123,1963-01-01,2.93,2.92
123,1963-02-01,2.92,3
123,1963-03-01,3,2.98
123,1963-04-01,2.98,2.9
123,1963-05-01,2.9,3
123,1963-06-01,3,2.99
123,1963-07-01,2.99,3.02
123,1963-08-01,3.02,3.49
123,1963-09-01,3.49,3.48
123,1963-10-01,3.48,3.5
123,1963-11-01,3.5,3.48
123,1963-12-01,3.48,3.38
123,1964-01-01,3.38,3.48
123,1964-02-01,3.48,3.48
123,1964-03-01,3.48,3.43
123,1964-04-01,3.43,3.47
123,1964-05-01,3.47,3.5
123,1964-06-01,3.5,3.5
123,1964-07-01,3.5,3.42
123,1964-08-01,3.42,3.5
123,1964-09-01,3.5,3.45
123,1964-10-01,3.45,3.36
123,1964-11-01,3.36,3.52
123,1964-12-01,3.52,3.85
123,1965-01-01,3.85,3.9
123,1965-02-01,3.9,3.98
123,1965-03-01,3.98,4.05
123,1965-04-01,4.05,4.09
123,1965-05-01,4.09,4.1
123,1965-06-01,4.1,4.05
123,1965-07-01,4.05,4.09
123,1965-08-01,4.09,4.12
123,1965-09-01,4.12,4.02
123,1965-10-01,4.02,4.08
123,1965-11-01,4.08,4.1
123,1965-12-01,4.1,4.32
123,1966-01-01,4.32,4.42
123,1966-02-01,4.42,4.6
123,1966-03-01,4.6,4.66
123,1966-04-01,4.66,4.67
123,1966-05-01,4.67,4.9
123,1966-06-01,4.9,5.17
123,1966-07-01,5.17,5.3
123,1966-08-01,5.3,5.53
123,1966-09-01,5.53,5.4
123,1966-10-01,5.4,5.53
123,1966-11-01,5.53,5.76
123,1966-12-01,5.76,5.4
123,1967-01-01,5.4,4.94
123,1967-02-01,4.94,5
123,1967-03-01,5,4.53
123,1967-04-01,4.53,4.05
123,1967-05-01,4.05,3.94
123,1967-06-01,3.94,3.98
123,1967-07-01,3.98,3.79
123,1967-08-01,3.79,3.9
123,1967-09-01,3.9,3.99
123,1967-10-01,3.99,3.88
123,1967-11-01,3.88,4.13
123,1967-12-01,4.13,4.51
123,1968-01-01,4.51,4.61
123,1968-02-01,4.61,4.71
123,1968-03-01,4.71,5.05
123,1968-04-01,5.05,5.76
123,1968-05-01,5.76,6.12
123,1968-06-01,6.12,6.07
123,1968-07-01,6.07,6.03
123,1968-08-01,6.03,6.03
123,1968-09-01,6.03,5.78
123,1968-10-01,5.78,5.91
123,1968-11-01,5.91,5.82
123,1968-12-01,5.82,6.02
123,1969-01-01,6.02,6.3
123,1969-02-01,6.3,6.61
123,1969-03-01,6.61,6.79
123,1969-04-01,6.79,7.41
123,1969-05-01,7.41,8.67
123,1969-06-01,8.67,8.9
123,1969-07-01,8.9,8.61
123,1969-08-01,8.61,9.19
123,1969-09-01,9.19,9.15
123,1969-10-01,9.15,9
123,1969-11-01,9,8.85
123,1969-12-01,8.85,8.97
123,1970-01-01,8.97,8.98
123,1970-02-01,8.98,8.98
123,1970-03-01,8.98,7.76
123,1970-04-01,7.76,8.1
123,1970-05-01,8.1,7.95
123,1970-06-01,7.95,7.61
123,1970-07-01,7.61,7.21
123,1970-08-01,7.21,6.62
123,1970-09-01,6.62,6.29
123,1970-10-01,6.29,6.2
123,1970-11-01,6.2,5.6
123,1970-12-01,5.6,4.9
123,1971-01-01,4.9,4.14
123,1971-02-01,4.14,3.72
123,1971-03-01,3.72,3.71
123,1971-04-01,3.71,4.16
123,1971-05-01,4.16,4.63
123,1971-06-01,4.63,4.91
123,1971-07-01,4.91,5.31
123,1971-08-01,5.31,5.57
123,1971-09-01,5.57,5.55
123,1971-10-01,5.55,5.2
123,1971-11-01,5.2,4.91
123,1971-12-01,4.91,4.14
123,1972-01-01,4.14,3.51
123,1972-02-01,3.51,3.3
123,1972-03-01,3.3,3.83
123,1972-04-01,3.83,4.17
123,1972-05-01,4.17,4.27
123,1972-06-01,4.27,4.46
123,1972-07-01,4.46,4.55
123,1972-08-01,4.55,4.81
123,1972-09-01,4.81,4.87
123,1972-10-01,4.87,5.05
123,1972-11-01,5.05,5.06
123,1972-12-01,5.06,5.33
123,1973-01-01,5.33,5.94
123,1973-02-01,5.94,6.58
123,1973-03-01,6.58,7.09
123,1973-04-01,7.09,7.12
123,1973-05-01,7.12,7.84
123,1973-06-01,7.84,8.49
123,1973-07-01,8.49,10.4
123,1973-08-01,10.4,10.5
123,1973-09-01,10.5,10.78
123,1973-10-01,10.78,10.01
123,1973-11-01,10.01,10.03
123,1973-12-01,10.03,9.95
123,1974-01-01,9.95,9.65
123,1974-02-01,9.65,8.97
123,1974-03-01,8.97,9.35
123,1974-04-01,9.35,10.51
123,1974-05-01,10.51,11.31
123,1974-06-01,11.31,11.93
123,1974-07-01,11.93,12.92
123,1974-08-01,12.92,12.01
123,1974-09-01,12.01,11.34
123,1974-10-01,11.34,10.06
123,1974-11-01,10.06,9.45
123,1974-12-01,9.45,8.53
123,1975-01-01,8.53,7.13
123,1975-02-01,7.13,6.24
123,1975-03-01,6.24,5.54
123,1975-04-01,5.54,5.49
123,1975-05-01,5.49,5.22
123,1975-06-01,5.22,5.55
123,1975-07-01,5.55,6.1
123,1975-08-01,6.1,6.14
123,1975-09-01,6.14,6.24
123,1975-10-01,6.24,5.82
123,1975-11-01,5.82,5.22
123,1975-12-01,5.22,5.2
123,1976-01-01,5.2,4.87
123,1976-02-01,4.87,4.77
123,1976-03-01,4.77,4.84
123,1976-04-01,4.84,4.82
123,1976-05-01,4.82,5.29
123,1976-06-01,5.29,5.48
123,1976-07-01,5.48,5.31
123,1976-08-01,5.31,5.29
123,1976-09-01,5.29,5.25
123,1976-10-01,5.25,5.02
123,1976-11-01,5.02,4.95
123,1976-12-01,4.95,4.65
123,1977-01-01,4.65,4.61
123,1977-02-01,4.61,4.68
123,1977-03-01,4.68,4.69
123,1977-04-01,4.69,4.73
123,1977-05-01,4.73,5.35
123,1977-06-01,5.35,5.39
123,1977-07-01,5.39,5.42
123,1977-08-01,5.42,5.9
123,1977-09-01,5.9,6.14
123,1977-10-01,6.14,6.47
123,1977-11-01,6.47,6.51
123,1977-12-01,6.51,6.56
123,1978-01-01,6.56,6.7
123,1978-02-01,6.7,6.78
123,1978-03-01,6.78,6.79
123,1978-04-01,6.79,6.89
123,1978-05-01,6.89,7.36
123,1978-06-01,7.36,7.6
123,1978-07-01,7.6,7.81
123,1978-08-01,7.81,8.04
123,1978-09-01,8.04,8.45
123,1978-10-01,8.45,8.96
123,1978-11-01,8.96,9.76
123,1978-12-01,9.76,10.03
123,1979-01-01,10.03,10.07
123,1979-02-01,10.07,10.06
123,1979-03-01,10.06,10.09
123,1979-04-01,10.09,10.01
123,1979-05-01,10.01,10.24
123,1979-06-01,10.24,10.29
123,1979-07-01,10.29,10.47
123,1979-08-01,10.47,10.94
123,1979-09-01,10.94,11.43
123,1979-10-01,11.43,13.77
123,1979-11-01,13.77,13.18
